,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/12),11600.0,1일전 (04/11),12520.0,1주일전 (04/05),13580.0,2주일전 (03/29),14740.0,1개월전,13040.0,1년전,10440.0,일평년,11172.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/13),15720.0,1일전 (04/12),16600.0,1주일전 (04/06),18320.0,2주일전 (03/30),17480.0,1개월전,17640.0,1년전,13840.0,일평년,15061.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/13),10920.0,1일전 (04/12),11600.0,1주일전 (04/06),13520.0,2주일전 (03/30),12680.0,1개월전,13040.0,1년전,10440.0,일평년,11161.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/14),15200.0,1일전 (04/13),15720.0,1주일전 (04/07),17320.0,2주일전 (03/31),17480.0,1개월전,17672.0,1년전,13680.0,일평년,15022.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/14),10400.0,1일전 (04/13),10920.0,1주일전 (04/07),12520.0,2주일전 (03/31),12680.0,1개월전,13072.0,1년전,10280.0,일평년,11122.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/15),14360.0,1일전 (04/14),15200.0,1주일전 (04/08),17320.0,2주일전 (04/01),18200.0,1개월전,17540.0,1년전,13640.0,일평년,15029.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/15),9770.0,1일전 (04/14),10400.0,1주일전 (04/08),12520.0,2주일전 (04/01),13140.0,1개월전,12940.0,1년전,10240.0,일평년,11118.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/16),,1일전 (04/15),14360.0,1주일전 (04/09),,2주일전 (04/02),,1개월전,17540.0,1년전,13640.0,일평년,15029.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/16),,1일전 (04/15),9770.0,1주일전 (04/09),,2주일전 (04/02),,1개월전,12940.0,1년전,10240.0,일평년,11118.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/18),15300.0,1일전 (04/17),,1주일전 (04/11),17320.0,2주일전 (04/04),18900.0,1개월전,17340.0,1년전,13600.0,일평년,14972.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/18),10710.0,1일전 (04/17),,1주일전 (04/11),12520.0,2주일전 (04/04),13840.0,1개월전,12740.0,1년전,10200.0,일평년,11092.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/19),14560.0,1일전 (04/18),15300.0,1주일전 (04/12),16600.0,2주일전 (04/05),18380.0,1개월전,17225.0,1년전,13640.0,일평년,14919.0
