,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/05),,1일전 (05/04),44600.0,1주일전 (04/28),41800.0,2주일전 (04/21),41000.0,1개월전,31250.0,1년전,32000.0,일평년,28173.0,2020-05-05
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/06),52600.0,1일전 (05/05),,1주일전 (04/29),48400.0,2주일전 (04/22),46800.0,1개월전,36840.0,1년전,36950.0,일평년,32803.0,2020-05-06
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/06),47200.0,1일전 (05/05),,1주일전 (04/29),43200.0,2주일전 (04/22),41200.0,1개월전,31560.0,1년전,32000.0,일평년,28267.0,2020-05-06
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/07),51400.0,1일전 (05/06),52600.0,1주일전 (04/30),,2주일전 (04/23),46600.0,1개월전,37400.0,1년전,37120.0,일평년,32967.0,2020-05-07
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/07),46000.0,1일전 (05/06),47200.0,1주일전 (04/30),,2주일전 (04/23),41000.0,1개월전,32080.0,1년전,32160.0,일평년,28413.0,2020-05-07
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/08),51000.0,1일전 (05/07),51400.0,1주일전 (05/01),,2주일전 (04/24),46600.0,1개월전,37960.0,1년전,37600.0,일평년,33207.0,2020-05-08
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/08),45600.0,1일전 (05/07),46000.0,1주일전 (05/01),,2주일전 (04/24),41000.0,1개월전,32600.0,1년전,32600.0,일평년,28640.0,2020-05-08
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/09),,1일전 (05/08),51000.0,1주일전 (05/02),,2주일전 (04/25),,1개월전,37960.0,1년전,37600.0,일평년,33207.0,2020-05-09
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/09),,1일전 (05/08),45600.0,1주일전 (05/02),,2주일전 (04/25),,1개월전,32600.0,1년전,32600.0,일평년,28640.0,2020-05-09
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/11),50800.0,1일전 (05/10),,1주일전 (05/04),49800.0,2주일전 (04/27),45000.0,1개월전,39350.0,1년전,37250.0,일평년,33163.0,2020-05-11
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/11),45400.0,1일전 (05/10),,1주일전 (05/04),44600.0,2주일전 (04/27),39800.0,1개월전,33950.0,1년전,32250.0,일평년,28563.0,2020-05-11
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/12),51000.0,1일전 (05/11),50800.0,1주일전 (05/05),,2주일전 (04/28),47000.0,1개월전,39350.0,1년전,37250.0,일평년,33217.0,2020-05-12
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/12),45600.0,1일전 (05/11),45400.0,1주일전 (05/05),,2주일전 (04/28),41800.0,1개월전,33950.0,1년전,32250.0,일평년,28617.0,2020-05-12
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/13),51000.0,1일전 (05/12),51000.0,1주일전 (05/06),52600.0,2주일전 (04/29),48400.0,1개월전,39840.0,1년전,37120.0,일평년,33240.0,2020-05-13
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/13),45600.0,1일전 (05/12),45600.0,1주일전 (05/06),47200.0,2주일전 (04/29),43200.0,1개월전,34440.0,1년전,32080.0,일평년,28627.0,2020-05-13
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/14),50200.0,1일전 (05/13),51000.0,1주일전 (05/07),51400.0,2주일전 (04/30),,1개월전,41000.0,1년전,36920.0,일평년,33190.0,2020-05-14
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/14),44800.0,1일전 (05/13),45600.0,1주일전 (05/07),46000.0,2주일전 (04/30),,1개월전,35600.0,1년전,31840.0,일평년,28563.0,2020-05-14
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/15),51200.0,1일전 (05/14),50200.0,1주일전 (05/08),51000.0,2주일전 (05/01),,1개월전,41400.0,1년전,36720.0,일평년,33123.0,2020-05-15
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/15),45800.0,1일전 (05/14),44800.0,1주일전 (05/08),45600.0,2주일전 (05/01),,1개월전,36000.0,1년전,31600.0,일평년,28483.0,2020-05-15
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/16),,1일전 (05/15),51200.0,1주일전 (05/09),,2주일전 (05/02),,1개월전,41400.0,1년전,36720.0,일평년,33123.0,2020-05-16
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/16),,1일전 (05/15),45800.0,1주일전 (05/09),,2주일전 (05/02),,1개월전,36000.0,1년전,31600.0,일평년,28483.0,2020-05-16
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/18),54400.0,1일전 (05/17),,1주일전 (05/11),50800.0,2주일전 (05/04),49800.0,1개월전,44500.0,1년전,37050.0,일평년,33363.0,2020-05-18
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/18),48400.0,1일전 (05/17),,1주일전 (05/11),45400.0,2주일전 (05/04),44600.0,1개월전,39050.0,1년전,31950.0,일평년,28730.0,2020-05-18
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/19),53600.0,1일전 (05/18),54400.0,1주일전 (05/12),51000.0,2주일전 (05/05),,1개월전,44500.0,1년전,37050.0,일평년,33377.0,2020-05-19
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/19),47600.0,1일전 (05/18),48400.0,1주일전 (05/12),45600.0,2주일전 (05/05),,1개월전,39050.0,1년전,31950.0,일평년,28743.0,2020-05-19
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/20),55200.0,1일전 (05/19),53600.0,1주일전 (05/13),51000.0,2주일전 (05/06),52600.0,1개월전,44960.0,1년전,36840.0,일평년,33280.0,2020-05-20
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/20),49200.0,1일전 (05/19),47600.0,1주일전 (05/13),45600.0,2주일전 (05/06),47200.0,1개월전,39480.0,1년전,31760.0,일평년,28653.0,2020-05-20
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/21),55200.0,1일전 (05/20),55200.0,1주일전 (05/14),50200.0,2주일전 (05/07),51400.0,1개월전,45920.0,1년전,36680.0,일평년,33227.0,2020-05-21
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/21),49200.0,1일전 (05/20),49200.0,1주일전 (05/14),44800.0,2주일전 (05/07),46000.0,1개월전,40400.0,1년전,31640.0,일평년,28613.0,2020-05-21
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/22),55200.0,1일전 (05/21),55200.0,1주일전 (05/15),51200.0,2주일전 (05/08),51000.0,1개월전,46440.0,1년전,36520.0,일평년,33147.0,2020-05-22
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/22),49200.0,1일전 (05/21),49200.0,1주일전 (05/15),45800.0,2주일전 (05/08),45600.0,1개월전,40880.0,1년전,31520.0,일평년,28547.0,2020-05-22
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/23),,1일전 (05/22),55200.0,1주일전 (05/16),,2주일전 (05/09),,1개월전,46440.0,1년전,36520.0,일평년,33147.0,2020-05-23
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/23),,1일전 (05/22),49200.0,1주일전 (05/16),,2주일전 (05/09),,1개월전,40880.0,1년전,31520.0,일평년,28547.0,2020-05-23
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/25),55000.0,1일전 (05/24),,1주일전 (05/18),54400.0,2주일전 (05/11),50800.0,1개월전,46300.0,1년전,35700.0,일평년,32807.0,2020-05-25
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/25),49000.0,1일전 (05/24),,1주일전 (05/18),48400.0,2주일전 (05/11),45400.0,1개월전,40900.0,1년전,30700.0,일평년,28207.0,2020-05-25
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/26),56800.0,1일전 (05/25),55000.0,1주일전 (05/19),53600.0,2주일전 (05/12),51000.0,1개월전,46300.0,1년전,35700.0,일평년,32687.0,2020-05-26
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/26),50800.0,1일전 (05/25),49000.0,1주일전 (05/19),47600.0,2주일전 (05/12),45600.0,1개월전,40900.0,1년전,30700.0,일평년,28087.0,2020-05-26
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/27),58400.0,1일전 (05/26),56800.0,1주일전 (05/20),55200.0,2주일전 (05/13),51000.0,1개월전,46720.0,1년전,35640.0,일평년,32480.0,2020-05-27
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/27),52400.0,1일전 (05/26),50800.0,1주일전 (05/20),49200.0,2주일전 (05/13),45600.0,1개월전,41360.0,1년전,30640.0,일평년,27880.0,2020-05-27
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/28),59800.0,1일전 (05/27),58400.0,1주일전 (05/21),55200.0,2주일전 (05/14),50200.0,1개월전,47360.0,1년전,35480.0,일평년,32310.0,2020-05-28
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/28),53240.0,1일전 (05/27),52400.0,1주일전 (05/21),49200.0,2주일전 (05/14),44800.0,1개월전,42080.0,1년전,30480.0,일평년,27710.0,2020-05-28
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/29),60800.0,1일전 (05/28),59800.0,1주일전 (05/22),55200.0,2주일전 (05/15),51200.0,1개월전,48560.0,1년전,35040.0,일평년,32097.0,2020-05-29
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/29),54400.0,1일전 (05/28),53240.0,1주일전 (05/22),49200.0,2주일전 (05/15),45800.0,1개월전,43320.0,1년전,30120.0,일평년,27523.0,2020-05-29
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/30),,1일전 (05/29),60800.0,1주일전 (05/23),,2주일전 (05/16),,1개월전,48560.0,1년전,35040.0,일평년,32097.0,2020-05-30
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/30),,1일전 (05/29),54400.0,1주일전 (05/23),,2주일전 (05/16),,1개월전,43320.0,1년전,30120.0,일평년,27523.0,2020-05-30
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (06/01),60400.0,1일전 (05/31),,1주일전 (05/25),55000.0,2주일전 (05/18),54400.0,1개월전,49450.0,1년전,34650.0,일평년,31710.0,2020-06-01
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (06/01),54200.0,1일전 (05/31),,1주일전 (05/25),49000.0,2주일전 (05/18),48400.0,1개월전,44200.0,1년전,29950.0,일평년,27205.0,2020-06-01
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (06/02),60400.0,1일전 (06/01),60400.0,1주일전 (05/26),56800.0,2주일전 (05/19),53600.0,1개월전,49450.0,1년전,34650.0,일평년,31670.0,2020-06-02
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (06/02),54200.0,1일전 (06/01),54200.0,1주일전 (05/26),50800.0,2주일전 (05/19),47600.0,1개월전,44200.0,1년전,29950.0,일평년,27165.0,2020-06-02
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (06/03),60200.0,1일전 (06/02),60400.0,1주일전 (05/27),58400.0,2주일전 (05/20),55200.0,1개월전,49450.0,1년전,34640.0,일평년,31687.0,2020-06-03
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (06/03),54000.0,1일전 (06/02),54200.0,1주일전 (05/27),52400.0,2주일전 (05/20),49200.0,1개월전,44200.0,1년전,29960.0,일평년,27188.0,2020-06-03
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (06/04),61000.0,1일전 (06/03),60200.0,1주일전 (05/28),59800.0,2주일전 (05/21),55200.0,1개월전,49840.0,1년전,34600.0,일평년,31640.0,2020-06-04
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (06/04),54800.0,1일전 (06/03),54000.0,1주일전 (05/28),53240.0,2주일전 (05/21),49200.0,1개월전,44560.0,1년전,30000.0,일평년,27167.0,2020-06-04
