,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/21),193714.0,1일전 (04/20),195143.0,1주일전 (04/14),195143.0,2주일전 (04/07),195143.0,1개월전,193714.0,1년전,206743.0,일평년,178000.0,2020-04-21
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/21),129400.0,1일전 (04/20),131400.0,1주일전 (04/14),131400.0,2주일전 (04/07),140000.0,1개월전,141000.0,1년전,137200.0,일평년,110800.0,2020-04-21
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/22),204114.0,1일전 (04/21),204114.0,1주일전 (04/15),,2주일전 (04/08),205257.0,1개월전,204114.0,1년전,218057.0,일평년,190038.0,2020-04-22
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/22),193714.0,1일전 (04/21),193714.0,1주일전 (04/15),,2주일전 (04/08),195143.0,1개월전,193714.0,1년전,206857.0,일평년,178000.0,2020-04-22
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/22),129400.0,1일전 (04/21),129400.0,1주일전 (04/15),,2주일전 (04/08),140000.0,1개월전,141000.0,1년전,137200.0,일평년,110800.0,2020-04-22
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/23),204114.0,1일전 (04/22),204114.0,1주일전 (04/16),205257.0,2주일전 (04/09),205257.0,1개월전,204114.0,1년전,218286.0,일평년,190095.0,2020-04-23
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/23),193714.0,1일전 (04/22),193714.0,1주일전 (04/16),195143.0,2주일전 (04/09),195143.0,1개월전,193714.0,1년전,207086.0,일평년,178057.0,2020-04-23
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/23),129400.0,1일전 (04/22),129400.0,1주일전 (04/16),131400.0,2주일전 (04/09),132400.0,1개월전,141000.0,1년전,137200.0,일평년,110800.0,2020-04-23
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/24),204114.0,1일전 (04/23),204114.0,1주일전 (04/17),205257.0,2주일전 (04/10),205257.0,1개월전,204114.0,1년전,219200.0,일평년,190217.0,2020-04-24
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/24),193714.0,1일전 (04/23),193714.0,1주일전 (04/17),195143.0,2주일전 (04/10),195143.0,1개월전,193714.0,1년전,207771.0,일평년,178179.0,2020-04-24
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/24),128000.0,1일전 (04/23),129400.0,1주일전 (04/17),131400.0,2주일전 (04/10),131400.0,1개월전,141000.0,1년전,138360.0,일평년,110733.0,2020-04-24
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/25),,1일전 (04/24),204114.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,204114.0,1년전,219200.0,일평년,190217.0,2020-04-25
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/25),,1일전 (04/24),193714.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,193714.0,1년전,207771.0,일평년,178179.0,2020-04-25
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/25),,1일전 (04/24),128000.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,141000.0,1년전,138360.0,일평년,110733.0,2020-04-25
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/27),204114.0,1일전 (04/26),,1주일전 (04/20),205257.0,2주일전 (04/13),205257.0,1개월전,204114.0,1년전,221086.0,일평년,190507.0,2020-04-27
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/27),193714.0,1일전 (04/26),,1주일전 (04/20),195143.0,2주일전 (04/13),195143.0,1개월전,193714.0,1년전,209029.0,일평년,178469.0,2020-04-27
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/27),128000.0,1일전 (04/26),,1주일전 (04/20),131400.0,2주일전 (04/13),131400.0,1개월전,141000.0,1년전,141550.0,일평년,110667.0,2020-04-27
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/28),204114.0,1일전 (04/27),204114.0,1주일전 (04/21),204114.0,2주일전 (04/14),205257.0,1개월전,204114.0,1년전,221086.0,일평년,190552.0,2020-04-28
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/28),193714.0,1일전 (04/27),193714.0,1주일전 (04/21),193714.0,2주일전 (04/14),195143.0,1개월전,193714.0,1년전,209029.0,일평년,178514.0,2020-04-28
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/28),127000.0,1일전 (04/27),128000.0,1주일전 (04/21),129400.0,2주일전 (04/14),131400.0,1개월전,141000.0,1년전,141550.0,일평년,110600.0,2020-04-28
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/29),204114.0,1일전 (04/28),204114.0,1주일전 (04/22),204114.0,2주일전 (04/15),,1개월전,204114.0,1년전,221257.0,일평년,190552.0,2020-04-29
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/29),193714.0,1일전 (04/28),193714.0,1주일전 (04/22),193714.0,2주일전 (04/15),,1개월전,193714.0,1년전,209143.0,일평년,178514.0,2020-04-29
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/29),127000.0,1일전 (04/28),127000.0,1주일전 (04/22),129400.0,2주일전 (04/15),,1개월전,141000.0,1년전,141840.0,일평년,110533.0,2020-04-29
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/30),,1일전 (04/29),204114.0,1주일전 (04/23),204114.0,2주일전 (04/16),205257.0,1개월전,204114.0,1년전,221257.0,일평년,190552.0,2020-04-30
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/30),,1일전 (04/29),193714.0,1주일전 (04/23),193714.0,2주일전 (04/16),195143.0,1개월전,193714.0,1년전,209143.0,일평년,178514.0,2020-04-30
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/30),,1일전 (04/29),127000.0,1주일전 (04/23),129400.0,2주일전 (04/16),131400.0,1개월전,141000.0,1년전,141840.0,일평년,110533.0,2020-04-30
